Pothole number,Bags used
103,0.48919177004865444
104,0.40237761420608664
105,0.8573784678657053
108,0.6541290673768144
114,0.7278088681190773
143,0.7140919441597343
144,0.4602979027111438
406,0.48422181758979155
434,0.8567651559852842
450,0.7727345256847149
470,0.7524834523464
473,0.40604219063912883
479,0.40251372711978906
1040,0.43012059549180615
1086,0.5753066991083102
1115,0.4480684238733341
1134,0.5378925377240911
1161,0.4922630664488927
1162,0.3512459052403121
1181,0.5421772760325345
1198,0.4291251095643306
1205,0.4012343532
1250,0.3872414982287008
1270,0.3860491635789187
1278,0.6918849060687108
1280,0.40354902611266485
1296,0.40834351143663317
1409,0.4057840102369342
1430,0.8445867013001654
1438,0.5225259907672336
